year,instance
1994,1994_107
1994,1994_26
1994,1994_28
1994,1994_54
1994,1994_96
1995,1995_112
1995,1995_323
1995,1995_33
1995,1995_339
1995,1995_64
1996,1996_402
1998,1998_133
1998,1998_178
1998,1998_19
1998,1998_232
1998,1998_39
1998,1998_409
1998,1998_41
1998,1998_452
1998,1998_469
1998,1998_88
1999,1999_39
2000,2000_205
2000,2000_8
2001,2001_26
2002,2002_156
2002,2002_21
2002,2002_210
2002,2002_6
2002,2002_76
2003,2003_138
2003,2003_209
2003,2003_269
2003,2003_27
2003,2003_312
2003,2003_37
2003,2003_376
2003,2003_38
2003,2003_383
2003,2003_388
2003,2003_391
2003,2003_409
2003,2003_421
2003,2003_65
2003,2003_81
2004,2004_258
2004,2004_374
2004,2004_394
2004,2004_401
2004,2004_632
2005,2005_0
2005,2005_141
2005,2005_161
2005,2005_176
2005,2005_431
2005,2005_56
2005,2005_77
2005,2005_84
2006,2006_101
2006,2006_246
2006,2006_316
2006,2006_350
2006,2006_408
2006,2006_43
2006,2006_449
2006,2006_45
2006,2006_553
2006,2006_638
2007,2007_105
2007,2007_163
2007,2007_247
2007,2007_313
2007,2007_394
2008,2008_27
2008,2008_318
2008,2008_36
2009,2009_238
2009,2009_253
2009,2009_345
2009,2009_4
2009,2009_46
2009,2009_540
2009,2009_542
2010,2010_141
2010,2010_19
2010,2010_248
2010,2010_257
2010,2010_279
2010,2010_323
2010,2010_341
2010,2010_442
2010,2010_459
2010,2010_477
2010,2010_480
2010,2010_508
2010,2010_723
2010,2010_77
2010,2010_8
2011,2011_138
2011,2011_191
2011,2011_198
2011,2011_272
2011,2011_352
2011,2011_365
2011,2011_490
2011,2011_52
2011,2011_63
2011,2011_704
2011,2011_706
2011,2011_71
2011,2011_85
2011,2011_94
2012,2012_596
2012,2012_787
2013,2013_141
2013,2013_355
2013,2013_509
2013,2013_527
2015,2015_1208
2015,2015_208
2015,2015_346
2015,2015_518
2015,2015_6
2015,2015_78
2016,2016_134
2016,2016_422
2016,2016_428
2016,2016_472
2016,2016_48
2016,2016_75
2016,2016_84
2017,2017_412
2017,2017_835
2017,2017_889
2017,2017_935
2017,2017_97
2018,2018_30
2018,2018_354
2018,2018_78
2018,2018_972
2019,2019_145
2019,2019_25
2019,2019_27
2020,2020_280
2020,2020_297
2020,2020_36
2021,2021_136
2021,2021_201
2021,2021_634
